#---------------------------------------
# Model "Examples/pyramid-skewed.svf"
#   5 points, 6 faces
#   Limits (-0.1, 0.7), (-0.3, 0.5), (0, 0.7)
#   Center (0.3, 0.1, 0.35)
#   Draw file "Examples/pyramid-skewed.sdf"
#-- Points -----------------------------
v       -0.1        0.5          0
v        0.7        0.5          0
v       -0.1       -0.3          0
v        0.7       -0.3          0
v        0.3        0.1        0.7
#-- Faces ------------------------------
f    3    1    0
f    2    3    0
f    1    4    0
f    4    2    0
f    1    3    4
f    2    4    3
#---------------------------------------
#---------------------------------------
# Parameters "Examples/params_03.txt"
#  Euler angles    : phi 0°, theta 22.5°, psi -12.25°
#  World subset    : (-1.6, -1.2) .. (1.6, 1.2)
#  Screen space    : (800, 600)
#  Camera position : (0, 0, 14)
#---------------------------------------
#---------------------------------------
# Model "Examples/pyramid-skewed.svf"
#   5 points, 6 faces
#   Limits (-0.1, 0.7), (-0.3, 0.5), (0, 0.7)
#   Center (0.3, 0.1, 0.35)
#   Draw file "Examples/pyramid-skewed.sdf"
#-- Points -----------------------------
v  -0.116666   0.575764   0.143751
v   0.605609   0.406021  -0.155425
v  -0.273487  -0.206021   0.208709
v   0.448788  -0.375764 -0.0904671
v   0.433939        0.1   0.673358
#---------------------------------------
